,interest,vacancy,cpi,price,value,adj_price,adj_value,next_quarter
2012-09-01,3.59,8.6,229.918,185000.0,167520.45954587567,80463.4695848085,72860.95892704166,77415.11367912084
2012-09-08,3.55,8.6,231.015,176000.0,167520.45954587567,76185.52907819838,72514.97069275833,78496.33035061693
2012-09-15,3.55,8.6,231.015,179000.0,167520.45954587567,77484.14605112222,72514.97069275833,78928.81701921539
2012-09-22,3.49,8.6,231.015,177500.0,167520.45954587567,76834.83756466031,72514.97069275833,80862.464914519
2012-09-29,3.4,8.6,231.015,179500.0,167520.45954587567,77700.5822132762,72514.97069275833,77693.7055149582
2012-10-06,3.36,8.7,231.638,178265.0,168098.8769538876,76958.44377865462,72569.64615213721,75535.54702843158
2012-10-13,3.39,8.7,231.638,175000.0,168098.8769538876,75548.91684438649,72569.64615213721,75535.54702843158
2012-10-20,3.37,8.7,231.638,177000.0,168098.8769538876,76412.33303689376,72569.64615213721,73377.38854190496
2012-10-27,3.41,8.7,231.638,175000.0,168098.8769538876,75548.91684438649,72569.64615213721,75535.54702843158
2012-11-03,3.39,8.7,231.249,175000.0,168745.4661400041,75676.00292325589,72971.32793655503,71907.85491356031
2012-11-10,3.4,8.7,231.249,176000.0,168745.4661400041,76108.4372256745,72971.32793655503,74483.65867165799
2012-11-17,3.34,8.7,231.249,181000.0,168745.4661400041,78270.60873776751,72971.32793655503,74054.35804530839
2012-12-01,3.32,8.7,231.249,184900.0,169438.3454444862,79957.10251720008,73270.95271524903,77918.06368245491
2012-12-08,3.34,8.7,231.221,179000.0,169438.3454444862,77415.11367912084,73279.82555411757,75339.45807251529
2012-12-15,3.32,8.7,231.221,181500.0,169438.3454444862,78496.33035061693,73279.82555411757,77448.96289854574
2012-12-22,3.37,8.7,231.221,182500.0,169438.3454444862,78928.81701921539,73279.82555411757,77492.01401744431
2012-12-29,3.35,8.7,231.221,186971.0,169438.3454444862,80862.464914519,73279.82555411757,81151.35912382363
2013-01-05,3.34,8.6,231.679,180000.0,170460.92347845258,77693.7055149582,73576.33772523732,78085.5662497789
2013-01-12,3.4,8.6,231.679,175000.0,170460.92347845258,75535.54702843158,73576.33772523732,78516.97821800972
2013-01-19,3.38,8.6,231.679,175000.0,170460.92347845258,75535.54702843158,73576.33772523732,79811.2141227022
2013-01-26,3.42,8.6,231.679,170000.0,170460.92347845258,73377.38854190496,73576.33772523732,80364.2842659741
2013-02-02,3.53,8.6,231.679,175000.0,171570.14143501103,75535.54702843158,74055.11135450819,83012.42383340592
2013-02-09,3.53,8.6,232.937,167500.0,171570.14143501103,71907.85491356031,73655.16918094206,81287.49035115333
2013-02-16,3.53,8.6,232.937,173500.0,171570.14143501103,74483.65867165799,73655.16918094206,83874.89057453221
2013-02-23,3.56,8.6,232.937,172500.0,171570.14143501103,74054.35804530839,73655.16918094206,82365.5737775612
2013-03-02,3.51,8.6,232.937,181500.0,173185.58680737898,77918.06368245491,74348.6808911332,86246.67411262954
2013-03-09,3.52,8.6,232.282,175000.0,173185.58680737898,75339.45807251529,74558.3328916485,83890.81288046636
2013-03-16,3.63,8.6,232.282,179900.0,173185.58680737898,77448.96289854574,74558.3328916485,86041.85936458087
2013-03-23,3.54,8.6,232.282,180000.0,173185.58680737898,77492.01401744431,74558.3328916485,86041.85936458087
2013-03-30,3.57,8.6,232.282,188500.0,173185.58680737898,81151.35912382363,74558.3328916485,90169.71756759664
2013-04-06,3.54,8.2,231.797,181000.0,174755.62967944297,78085.5662497789,75391.67015942525,87161.87204808931
2013-04-13,3.43,8.2,231.797,182000.0,174755.62967944297,78516.97821800972,75391.67015942525,88020.6097037355
2013-04-20,3.41,8.2,231.797,185000.0,174755.62967944297,79811.2141227022,75391.67015942525,85873.76556462001
2013-04-27,3.4,8.2,231.797,186282.0,174755.62967944297,80364.2842659741,75391.67015942525,87810.97937084505
2013-05-04,3.35,8.2,231.893,192500.0,176382.9725399791,83012.42383340592,76062.2237583623,85240.90192584471
2013-05-11,3.42,8.2,231.893,188500.0,176382.9725399791,81287.49035115333,76062.2237583623,86525.94064834487
2013-05-18,3.51,8.2,231.893,194500.0,176382.9725399791,83874.89057453221,76062.2237583623,85669.2481666781
2013-05-25,3.59,8.2,231.893,191000.0,176382.9725399791,82365.5737775612,76062.2237583623,86525.94064834487
2013-06-01,3.81,8.2,231.893,200000.0,177991.12466534326,86246.67411262954,76755.71261976138,83496.0435720892
2013-06-08,3.91,8.2,232.445,195000.0,177991.12466534326,83890.81288046636,76573.43658299523,82982.22176549173
2013-06-15,3.98,8.2,232.445,200000.0,177991.12466534326,86041.85936458087,76573.43658299523,83496.0435720892
2013-06-22,3.93,8.2,232.445,200000.0,177991.12466534326,86041.85936458087,76573.43658299523,83496.0435720892
2013-06-29,4.46,8.2,232.445,209595.0,177991.12466534326,90169.71756759664,76573.43658299523,83451.37780364533
